plant_power_kW,RO_perm_flow_gpm,UV1_flow_MGD,UV2_flow_MGD,RO_feed_flow_gpm
311.7495422,0,1.606707931,2.045808315,3053.25
255.0627441,0,1.057832599,1.327280521,2233.869873
1012.144165,0,4.8001647,6.237220287,8790.049805
960.2420044,0,4.730308056,6.147404194,8794.830078
633.7668457,7361.319824,3.732352734,3.442945719,5783.609863
672.0463867,7968.689941,3.772270918,3.512802601,5751.929688
645.6046143,5078.799805,3.74233222,3.522782087,5755.27002
1078.20813,7415.529785,5.648426533,5.299142361,8627.479492
950.1734619,7429.629883,5.608508587,5.189367294,8503.879883
1031.845703,7517.060059,5.82805872,5.468794823,8410.639648
759.4448242,5053.169922,3.931943655,3.692434549,5656.060059
1045.695313,7610.369629,5.87795639,5.44883585,8391.759766
1089.242188,7549.060059,5.907895088,5.568590164,8475.649414
973.730957,7611.739746,5.548631191,5.229285717,8128.560059
946.1724243,7617.599609,5.578569889,5.378978729,8115.239746
1031.757324,7594.679688,5.867977142,5.518692493,8330.649414
1107.644775,7562.629883,5.788140297,5.478774548,8334.719727
1484.218262,10241.16992,7.983642101,7.315011978,11096.58984
982.0048828,7581.799805,5.62846756,5.319101334,8113.040039
728.446228,5046.429688,3.74233222,3.49284339,5406.850098
660.6273193,5045.029785,3.752311707,3.522782087,5427.429688
1015.641418,7591.759766,5.887936115,5.538651466,8325.299805
975.5894165,7540.399902,5.658406258,5.279183388,8058.699707
966.1123657,7581.959961,5.618488312,5.309122086,8122.32959
960.4289551,7564.75,5.62846756,5.359019756,8072.659668
974.0518799,7591.72998,5.668385983,5.24924469,8196.929688
965.8474731,7594.699707,5.638447285,5.299142361,8199.990234
982.4835205,7570.5,6.117465973,4.830103397,8109.310059
973.1590576,7625.02002,6.147404194,4.820123672,8164.909668
953.7753296,10000,6.187322617,4.780205727,8120.569824
1063.15564,10000,6.147404194,5.159428596,8406.089844
670.3946533,Null,4.131534576,3.552720785,5685.52002
1017.282837,5321,6.037629128,5.219305992,8379.129883
1013.357727,5325,6.07754755,5.339060783,8346.299805
1026.340454,5296,6.067567825,5.139469624,8343.769531
682.1930542,3551,4.151494026,3.582659483,5635.22998
1015.621582,5335,6.137424946,5.179387569,8359.780273
981.6995239,5318,6.097506523,5.209326267,8372.950195
1004.175598,5331,6.047608852,5.04965353,8356.879883
1047.403198,5334,6.057588577,5.209326267,8311.189453
361.3314819,1773,1.926053643,1.666585326,2729.419922
381.403717,1775,2.115665197,1.836237669,2984.98999
1027.529419,5316,6.097506523,5.199347019,8372.679688
997.7762451,5328,6.147404194,5.149449348,8370.019531
153.5973969,122,0,0,2726.76001
98.03335571,2,0,0,3.899999857
85.28102112,6954,0,0,3.699999809
102.5836716,6715,0,0,2.889999866
122.590332,2,0,0,2727.839844
60.92671967,2,0,0,3.899999857
161.7599487,2,0,0,2678.919922
191.3542175,8,0,0,2707.619873
201.2390289,2,0,0,2664.839844
477.0561523,1780,1.736442208,1.3572191,3047.52002
161.3282013,2,0,0,2657.699951
590.9312744,3437,4.04171896,2.904049873,5535.02002
990.9736328,5368,5.907895088,5.359019756,8348.530273
1034.379028,5335,5.82805872,5.4288764,8346.129883
102.3577423,2,0,0,3.809999943
1035.366699,5305,5.438856125,5.109530926,8309.139648
1383.2052,7229,7.853908062,7.245155334,11153.25977
458.7387695,1640,2.065767288,1.926053643,2821.879883
1349.994141,7242,7.724173546,7.175298214,11082.91016
387.7522278,229,7.724173546,7.175298214,2832.540039
804.2143555,3543,7.724173546,7.175298214,5636.120117
737.9684448,3562,3.94192338,3.702414036,5626.069824
118.9739838,2,0,0,1653.609985
705.6560669,3534,3.772270918,3.522782087,5341.469727
412.1982422,1653,1.766380787,1.666585326,2742.02002
90.07496643,2,0,0,3.75999999
452.5770874,1763,1.746421695,1.656605721,2756.219971
473.6122742,1779,2.025849104,1.896114945,2959.929932
394.0937195,1780,1.896114945,1.766380787,2727
231.426712,2,0,0,2926.25
85.51660156,33,0,0,2.75
87.75358582,2,0,0,3.619999886
61.16042709,2,0,0,3.74000001
382.5791931,1775,1.866176367,1.766380787,2742.139893
427.1355896,1777,1.886135459,1.766380787,2746.819824
190.6746826,13,0,0,2557.849854
742.8701172,3564,3.981841564,3.762291431,5729.069824
1042.634888,5300,5.967772484,5.478774548,8392.849609
68.01770782,2,0,0,3.159999847
1020.723999,5308,5.808099747,5.388958454,8384.30957
1025.726318,5319,5.838038445,5.44883585,8361.849609
1375.871094,7229,7.923764706,7.494644165,11066.05957
1401.911255,7271,7.88384676,7.434766769,11214.76953
1372.015381,7257,7.893826008,7.444746017,11147.85938
1376.235718,7270,7.833948612,7.334970951,11148
1403.06543,7236,7.88384676,7.125400543,11140.80957
1379.153442,7205,7.903805733,7.574480534,11077.41016
1437.569458,7220,7.903805733,7.414807796,11131.2002
1093.593506,5352,5.857997417,5.339060783,8468.379883
1048.956787,5303,5.598528862,5.259224415,8082.72998
992.1414185,5344,5.708303928,5.149449348,8193.05957
277.106842,1,0,0,2750.129883
367.1690674,281,0,0,2402.689941
1503.332275,7270,7.893826008,7.474684715,11243.79004
1550.462891,7231,7.933744431,7.544541836,11189.45996
1447.953125,7209,7.903805733,7.344950676,11102.17969
1482.569092,7243,7.813989639,7.255134583,11162.5293
1490.566772,7226,7.873867035,7.544541836,11115.72949
1518.440674,7229,7.833948612,7.454725742,11092.31934
1484.974854,7184,7.764091969,7.454725742,11149.47949
1477.895996,7200,7.764091969,7.514603138,11092.18945
1492.991943,7238,7.6842556,7.544541836,11096.66992
1501.088867,7184,7.734153271,7.534562111,11099.91016
1497.031616,7182,7.694234848,7.0555439,11140.20996
1551.025635,7229,7.794030666,7.564500809,11159.04004
1546.123047,7206,7.754112244,7.165318966,11066.00977
1558.015015,7191,7.804009914,7.125400543,11042.83008
1484.791504,7172,7.784050941,7.434766769,10984.26953
1096.818604,5348,5.668385983,5.398938179,8091.219727
1107.642334,5316,5.62846756,5.24924469,8156.209961
1478.95752,7217,7.614398479,7.255134583,10982.41016
1477.294434,7178,7.654316902,7.185277939,10854.09961
1398.253418,7214,7.644337177,7.344950676,10826.16992
1456.635986,7181,7.634357929,7.354930401,10941.0498
1131.678345,5413,5.398938179,5.339060783,8150.22998
1467.038574,7153,7.654316902,7.564500809,10854.39941
1117.146362,5324,5.648426533,5.418897152,8185.839844
1102.892578,5328,5.658406258,5.418897152,8184.549805
1605.669067,7153,7.674275875,7.434766769,10965.45996
1141.143433,5294,5.668385983,5.44883585,8191.139648
1533.469727,7209,7.524582863,7.255134583,11030.58984
1548.994141,7198,7.514603138,7.614398479,10918.5
1141.143433,5294,5.668385983,5.44883585,8191.139648
1533.469727,7209,7.524582863,7.255134583,11030.58984
1507.952515,7165,7.664296627,7.28507328,10920.49023
1027.309204,5246,5.528672218,5.349040031,8242.209961
1220.09375,5339,5.678365231,5.378978729,8179.099609
1522.919678,7175,7.534562111,7.145359516,10916.34961
1622.241089,7199,7.6842556,7.315011978,10905.89941
1235.456787,5308,5.62846756,5.508713245,8227.830078
1495.870972,7131,7.494644165,7.28507328,10801.09961
1537.956909,7077,7.48466444,6.816034317,10918.91992
1574.541504,7056,7.464705467,7.165318966,10913.91016
1218.257935,5379,5.668385983,5.418897152,8216.979492
1263.485352,5292,5.658406258,5.24924469,8200.979492
1172.660278,5353,5.688344955,5.618488312,8273.490234
1294.734009,5285,5.678365231,5.578569889,8211.80957
1580.791016,7125,7.534562111,7.414807796,10835.58984
1689.75293,7083,7.544541836,7.115420818,10947.09961
1277.087891,5311,5.4288764,5.82805872,8217.75
1675.497803,7101,7.065523148,7.893826008,10939.10938
1259.130615,5315,5.578569889,5.528672218,8172.879883
1627.576904,7172,7.514603138,7.205236912,10944.5
1654.065552,7152,7.534562111,7.295053005,10873.37012
85.53143311,2,0,0,5.849999905
79.08304596,2,0,0,3.899999857
111.9225235,77,0,0,7.029999733
117.8065491,2,0,0,3.199999809
97.01751709,2,0,0,3.939999819
88.59596252,2,0,0,4.630000114
93.91994476,2,0,0,3.899999857
80.40378571,2,0,0,3.109999895
76.13817596,2,0,0,3.899999857
213.2379608,2,0,0,2287.459961
169.0061951,2,0,0,2286.959961
107.1500397,2,0,0,2.440000057
446.5517273,1620,0.928098381,1.267403126,2768.859863
909.4683228,3561,3.792229891,3.722373009,5526.75
1270.215576,5326,5.558610916,5.359019756,8184.319824
1250.852295,5291,5.648426533,5.528672218,8194.769531
1275.542847,5315,5.997711182,5.039674282,8223.359375
996.6036377,3517,3.862086773,3.233375072,5575.689941
1518.774414,6735,6.945768833,6.965727806,10296.7793
1484.703979,6667,6.935789108,6.756156921,10277.87012
1563.338989,6757,7.0555439,6.835993767,10414.14941
1490.954224,6756,7.065523148,6.925809383,10328.93945
1523.481689,6751,7.025605202,6.90585041,10308.96973
1158.340454,5016,5.229285717,5.159428596,7756.949707
1547.894165,6761,7.015625477,6.895870686,10317.16992
1547.306519,6787,7.03558445,6.915830135,10407.0498
117.9169693,2,0,0,3.799999952
112.5780182,2,0,0,3.899999857
1263.60376,5320,5.508713245,5.418897152,8116.759766
403.7362061,3,2.005890131,1.826258183,1778.699951
1339.553589,5307,5.498733521,5.438856125,8095.32959
1292.28064,5311,5.199347019,5.109530926,8089.899902
1283.643433,5299,5.458815098,5.408917427,8164.75
918.8539429,3553,3.442945719,3.363109112,5385.350098
1354.966553,5280,5.44883585,5.398938179,8146.239746
1361.535645,5275,5.548631191,5.468794823,8213.30957
1405.822021,5328,5.588549614,5.488753796,8217.540039
1793.955444,7071,7.404828072,7.334970951,10897.50977
1362.34668,5314,5.558610916,5.508713245,8240.649414
1247.319458,5333,5.478774548,5.398938179,8048.119629
895.8467407,3520,3.662495852,3.592638969,5436.830078
609.480896,1749,1.476973772,1.466994286,2721.569824
1363.78772,5297,5.558610916,5.44883585,8200.649414
1353.151855,5322,5.568590164,5.478774548,8185.060059
1772.381104,7184,7.0555439,7.025605202,10866.93945
1326.262573,5268,5.498733521,5.438856125,8078.75
1337.205811,5239,5.528672218,5.408917427,8107.459961
1323.658569,5271,5.488753796,5.398938179,8153.379883
1444.881836,5272,5.498733521,5.418897152,8121.25
1674.322998,7069,7.315011978,7.225195885,10897.06934
225.5331421,82,0,0,3.899999857
877.0883179,3504,3.64253664,3.562700272,5421.080078
911.6513672,3523,3.612597942,3.562700272,5407.799805
1297.611084,5268,5.488753796,5.418897152,8044.649902
566.5330811,1750,1.896114945,1.846217275,2827.399902
1690.420288,6955,7.344950676,7.175298214,10700.95996
593.1719971,1921,1.177587152,1.087771177,3435.719971
1690.913574,7006,7.175298214,7.045564175,10766.9502
1690.07373,7026,7.315011978,7.255134583,10772.72949
1765.920166,7017,7.28507328,7.195257187,10770.24023
1047.591064,4042,3.602618456,3.54274106,7017.849609
1284.928833,5248,5.378978729,5.309122086,8001.009766
1323.130859,5311,5.388958454,5.279183388,8010.149902
1274.607422,5244,5.388958454,5.269203663,7992.060059
1330.13208,5230,5.388958454,5.329081059,8004.109863
1301.075195,5234,5.349040031,5.24924469,7990.279785
1379.446533,5292,5.44883585,5.329081059,8076.139648
1326.730713,5258,5.418897152,5.359019756,8022.949707
1307.526245,5234,5.398938179,5.289163113,7963.179688
104.0189819,2,0,0,3.869999886
1369.242188,5227,5.488753796,5.408917427,8075.529785
1359.073853,5230,5.368999481,5.299142361,8006.810059
1338.269531,5249,5.478774548,5.388958454,8106.399902
1332.527588,5228,5.339060783,5.239264965,7962.359863
1327.046631,5229,5.319101334,5.229285717,7992.349609
1034.087402,3480,3.562700272,3.502822876,5347.879883
956.7679443,3504,3.432965994,3.373088837,5314.069824
1728.530762,6944,7.23517561,7.155339241,10633.84961
1739.16626,6919,7.025605202,6.935789108,10581.49023
1753.302124,6969,7.255134583,7.135380268,10578.14941
1344.255371,5234,5.368999481,5.279183388,7965.469727
1716.264893,6841,7.23517561,7.03558445,10549.06934
692.2226563,1737,2.724417925,2.574724674,2704.25
1419.928711,5240,4.999755859,4.860042095,7936.359863
1729.571777,7000,7.30503273,7.155339241,10675.2998
1341.557617,5305,5.319101334,5.239264965,8179.27002
1490.188721,5205,5.4288764,5.339060783,8080.199707
1357.031616,5244,5.468794823,5.4288764,8142.97998
1368.782227,5215,5.438856125,5.349040031,8121.909668
1349.210327,5163,5.418897152,5.319101334,7972.049805
1398.213989,5116,5.398938179,5.329081059,7965.779785
1352.474487,5134,5.388958454,5.299142361,8005.72998
1321.571289,5209,5.418897152,5.329081059,8056.359863
1365.756348,5188,5.089571953,5.029694557,8026.859863
1435.615112,5121,5.388958454,5.289163113,7932.57959
1352.15918,5180,5.368999481,5.289163113,8045.129883
1670.582397,6952,7.205236912,7.215216637,10581.33008
1718.988892,6889,7.165318966,7.065523148,10504.39941
1704.322021,6873,7.185277939,7.165318966,10506.37988
1665.500732,6871,7.195257187,7.075502872,10557.25
1686.942627,6944,7.215216637,7.025605202,10507.04004
1675.159302,6865,7.155339241,7.015625477,10457.33984
1342.289063,5133,5.299142361,5.229285717,7858.75
1328.455933,5133,5.299142361,5.229285717,7845.639648
1368.734985,5183,5.408917427,5.319101334,7984.869629
1304.800415,5120,5.349040031,5.229285717,7964.359863
1346.827393,5131,5.339060783,5.269203663,7882.22998
1357.115601,5079,5.319101334,5.24924469,7866.549805
125.0596848,2,0,0,3.899999857
911.1973877,3499,3.363109112,3.39304781,5371.310059
1318.863403,5142,5.279183388,5.279183388,7867.310059
570.5174561,1699,1.896114945,1.40711689,2634.02002
1288.138672,5063,5.608508587,4.760246754,7726.540039
1284.163696,5072,5.62846756,4.8001647,7810.259766
1286.82666,5115,5.588549614,4.790185452,7827.069824
506.8796692,1759,1.896114945,1.636646628,2702.149902
1258.641724,5083,5.538651466,4.750267029,7699.689941
1254.181885,4992,5.528672218,4.750267029,7654.52002
201.7934113,2,0,0,2370.159912
1614.926514,6667,7.344950676,6.337016106,10207.75
1668.772583,6642,7.414807796,6.327036381,10249.2002
1690.568115,6591,7.404828072,6.287117958,10095.42969
1303.276367,4882,5.528672218,4.720328331,7653.97998
1287.217773,4948,5.139469624,4.29120779,7640.5
1601.458008,6628,6.875911713,6.865931988,10358.25
1641.319214,6641,6.90585041,6.865931988,10346.26953
1278.613525,5069,5.209326267,5.179387569,7763.299805
1245.934082,4964,5.179387569,5.129489899,7754.25
1654.459961,6629,6.895870686,6.875911713,10286.12988
1712.857666,6656,6.915830135,6.945768833,10433.91016
1638.609863,6754,7.005645752,7.015625477,10433.71973
1686.272705,6726,6.915830135,6.835993767,10403.96973
1628.622925,6701,6.845973015,6.935789108,10379.10938
1628.790771,6686,6.945768833,6.85595274,10411.63965
1647.896606,6605,6.845973015,6.826014042,10367.51953
912.0855103,3390,3.462904692,3.432965994,5201.389648
1040.193359,3371,3.462904692,3.432965994,5180.159668
1674.120605,6732,7.025605202,6.925809383,10320.17969
1669.074097,6683,6.935789108,6.965727806,10218.75
83.65045166,2,0,0,3.899999857
96.22770691,2,0,0,4.389999866
93.73720551,2,0,0,3.899999857
1654.134277,6745,7.03558445,6.985686779,10329.16016
1736.618896,6802,7.075502872,7.0555439,10411.2998
718.3938599,1870,1.287362337,1.3572191,2750.280029
1695.039063,6853,7.125400543,7.145359516,10579.2002
1688.284668,6875,7.145359516,7.115420818,10449.97949
1657.89856,6859,7.075502872,7.0555439,10453.33984
1302.881348,5175,5.289163113,5.269203663,7836.47998
1679.47644,6849,7.115420818,7.0555439,10412.33984
1642.82312,6829,7.095461845,7.115420818,10437.45996
1669.210693,6934,7.225195885,7.135380268,10615.75
1689.129883,7033,7.125400543,7.155339241,10736.93945
1704.186279,7012,7.334970951,7.265114307,10693.91992
1609.155273,7060,7.265114307,7.255134583,10668.21973
1388.371826,5204,5.398938179,5.388958454,8098.909668
1661.878174,6938,7.125400543,7.065523148,10585.42969
1636.721924,6987,7.23517561,7.155339241,10672.31934
1730.646362,7024,7.265114307,7.28507328,10747.79004
1691.279785,6964,7.315011978,7.295053005,10696
1769.813232,7000,7.225195885,7.245155334,10606.2998
1681.061768,6901,7.195257187,7.155339241,10607.64941
977.8543091,3504,3.622577667,3.602618456,5380.759766
1156.317749,4820,5.359019756,5.359019756,7665.319824
956.9025879,3548,3.812189102,3.792229891,5408.600098
1029.799561,3519,3.692434549,3.672475338,5482.639648
220.9060364,2,0,0,2349.089844
1406.890747,5316,5.508713245,5.508713245,8186.629883
1806.279541,7074,7.295053005,7.334970951,10780.60938
1728.880005,7152,7.315011978,7.354930401,10885.56934
1326.677612,5329,5.518692493,5.468794823,8191.569824
1740.171387,7062,7.295053005,7.315011978,10840.17969
1764.985229,6979,7.295053005,7.215216637,10762.4502
1759.089355,7008,7.344950676,7.265114307,10789.96973
1817.139893,7053,7.30503273,7.354930401,10794.75977
1826.322266,6974,7.344950676,7.255134583,10761.88965
1781.05249,7074,7.324991703,7.324991703,10884.64941
1376.69458,5268,5.388958454,5.368999481,8179.149902
1008.243347,3546,3.692434549,3.662495852,5473.509766
1028.298828,3533,3.702414036,3.672475338,5498.72998
1598.2052,6822,7.095461845,7.065523148,10427.5293
1728.376099,6860,6.875911713,6.895870686,10383.14941
1243.485596,5049,5.189367294,5.149449348,7696.069824
1348.19104,5095,5.079592228,5.039674282,7705.609863
1593.400146,6877,7.125400543,7.135380268,10374.55957
1640.186768,6895,7.115420818,7.085482121,10479.64941
1318.49707,5081,5.418897152,5.388958454,8458.799805
1535.508179,6868,7.115420818,7.10544157,10304.30957
1619.240479,6780,7.085482121,7.10544157,10415.58008
1599.189575,6803,7.0555439,6.985686779,10370.81934
1586.658936,6824,7.085482121,7.085482121,10356.5
1591.622559,6800,7.025605202,6.90585041,10428.04004
1600.525391,6806,6.995666504,6.945768833,10333.89941
1609.536987,6796,7.025605202,7.025605202,10410.92969
1583.148193,6800,7.03558445,7.085482121,10434.92969
1639.463745,6700,7.075502872,6.975707054,10428.33984
1622.755615,6793,6.985686779,6.875911713,10437.7002
1649.517822,6880,7.095461845,7.065523148,10498.05957
1704.657715,6751,7.0555439,7.015625477,10312.99023
1660.103027,6809,7.045564175,7.025605202,10347.91992
1682.770874,6743,7.045564175,6.985686779,10416.5498
248.500351,2,0,0,2677.639893
1608.164673,6819,7.0555439,7.025605202,10423
1254.545288,5018,5.219305992,5.219305992,7728.219727
608.2219238,1693,1.736442208,1.716482997,2622.319824
1222.816284,5073,5.199347019,5.169408321,7732.799805
1237.191895,5064,5.199347019,5.189367294,7766.929688
1214.248047,5082,5.179387569,5.159428596,7734.389648
1186.130615,5044,5.189367294,5.179387569,7676.239746
1222.649048,5095,5.199347019,5.169408321,7736.989746
1240.079102,5060,5.189367294,5.179387569,7728.739746
933.1446533,3377,3.472884417,3.432965994,5192.5
925.6376953,3318,3.472884417,3.442945719,5125.969727
1233.43042,5020,5.568590164,4.830103397,7666.139648
1208.978271,5050,5.588549614,4.770226002,7786.239746
1215.82373,5082,5.618488312,4.780205727,7655.119629
1300.837891,5071,5.598528862,4.830103397,7820.219727
1188.379395,5040,5.598528862,4.770226002,7712.849609
1227.728882,5040,5.608508587,4.790185452,7686.339844
1206.834473,5027,5.608508587,4.780205727,7740.969727
1214.869385,5045,5.119510651,5.24924469,7731.799805
1243.553589,5042,5.189367294,5.169408321,7784.47998
1210.039917,5053,5.189367294,5.149449348,7695.349609
886.6147461,3384,3.472884417,3.452925205,5152.529785
938.5081177,3358,3.482863903,3.442945719,5180.080078
920.2897339,3390,3.482863903,3.452925205,5157.72998
842.1707153,3383,3.472884417,3.442945719,5134.149902
855.6551514,3381,3.482863903,3.452925205,5190.649902
906.7549438,3369,3.472884417,3.442945719,5177.359863
1619.038086,6881,7.115420818,6.995666504,10388.5293
1612.838135,6879,7.10544157,7.10544157,10383.43945
1605.749146,6872,7.155339241,7.045564175,10330.79004
1601.517822,6856,7.115420818,7.03558445,10419.62012
113.5278854,2,0,0,3.899999857
129.7496796,2,0,0,3.899999857
1557.034058,6895,7.185277939,7.005645752,10446.54004
1566.298462,6865,7.10544157,7.125400543,10368.56934
1600.863892,6850,7.065523148,6.975707054,10437.7793
1572.793213,6875,7.115420818,7.025605202,10365.75977
1570.393066,6858,7.10544157,7.10544157,10400.83984
800.59198,3369,3.482863903,3.413007021,5137.370117
580.6290894,1683,1.736442208,1.686544418,2577.540039
1598.893311,6878,7.145359516,7.075502872,10545.56934
1587.212769,6862,7.145359516,7.0555439,10431.72949
1601.034912,6827,7.195257187,7.075502872,10299.2002
1600.248291,6846,7.135380268,7.0555439,10326.74023
1590.575317,6831,7.155339241,6.975707054,10461.2793
1591.835938,6874,7.095461845,7.015625477,10431.21973
1597.473389,6844,7.155339241,7.005645752,10430.30957
1634.576782,6750,7.115420818,7.005645752,10374.75977
1611.403809,6828,7.135380268,7.03558445,10376.56934
1582.347412,6848,7.135380268,7.015625477,10463.93945
1593.375732,6807,7.125400543,6.975707054,10380.96973
1569.662964,6795,7.135380268,6.955748081,10379.59961
1204.255005,5057,5.229285717,5.109530926,7776.060059
